f0,f1,f2,f3,f4,f5,f6,f7,y,idx
-3.255464,-3.160250,-0.008591,-0.010531,-0.031663,0.016308,0.001331,-0.017332,1,34
-1.996154,-0.220724,0.047268,0.014280,-0.070106,0.000917,0.008259,0.008593,2,35
-0.130476,5.786731,-0.044156,0.051772,-0.019189,-0.028231,0.002224,-0.044390,3,36
-1.708592,6.667765,-0.010893,-0.007111,0.024319,0.016899,0.043060,-0.025456,2,37
0.641247,-2.109235,-0.020892,0.034177,0.007260,-0.039605,0.034885,0.031278,1,38
1.447202,2.449789,-0.000479,0.042410,0.008768,0.038926,0.013802,-0.044801,0,39
2.000974,4.898492,-0.016058,0.049164,-0.052398,-0.023550,-0.007352,-0.017730,3,40
-4.982439,-0.106710,-0.012270,0.036851,-0.007275,-0.011654,0.033448,0.026265,3,41
3.355169,-0.567682,0.020599,0.015194,-0.016836,-0.002984,-0.048114,-0.047602,1,42
-3.765903,-4.659422,-0.056904,-0.019841,-0.012803,-0.031806,-0.043328,0.020289,0,43
4.257391,-1.858632,0.033053,0.035132,0.033825,0.045331,0.005919,0.027191,2,44
-5.471628,4.244642,-0.049696,-0.032885,0.036202,-0.020999,0.021648,0.033484,0,45
-3.126869,2.952637,-0.031451,0.009255,-0.078472,-0.021526,-0.036897,-0.014785,0,46
2.181866,0.348771,0.004547,0.004293,-0.010530,0.045667,0.005571,-0.017829,0,47
-1.363722,3.114676,0.053639,0.015668,-0.059970,-0.020344,0.004783,0.039470,2,48
4.485189,-1.363653,0.052392,0.028258,0.078279,-0.000887,-0.022384,-0.028518,2,49
4.967159,-3.587295,-0.030092,-0.073285,0.032663,0.020244,-0.005793,-0.004237,1,50
3.122288,3.093260,-0.004548,-0.051619,0.019733,0.012237,-0.019406,-0.015283,3,51
-3.070102,-3.120541,-0.003165,0.009514,0.010018,0.033978,0.009195,-0.024333,1,52
4.349272,-1.758654,-0.041118,0.009336,-0.016620,-0.042317,-0.020497,0.027329,2,53
3.584554,-2.751214,0.001878,-0.012725,-0.017513,0.049074,0.016218,0.008550,2,54
4.229175,-4.132294,-0.002347,-0.003711,0.003703,-0.010190,0.010056,0.024377,3,55
-3.507706,2.656417,0.023156,-0.058836,0.036545,0.002800,-0.055767,0.006063,0,56
1.993133,4.794624,0.005850,-0.030431,-0.031784,-0.013971,-0.028000,0.025278,3,57
3.336329,-4.847069,-0.032110,-0.000789,0.016748,-0.006906,0.050003,0.035122,1,58
-1.532097,2.566563,0.001750,0.004525,-0.031518,0.008131,-0.012221,-0.025678,1,59
6.928616,-0.869681,-0.048438,0.013228,0.009666,-0.024478,-0.026802,0.027394,3,60
2.062236,4.967545,-0.001580,0.005596,0.053364,-0.040248,0.048293,-0.036209,3,61
-4.299228,1.917400,0.027486,-0.024887,-0.034425,0.003068,0.026995,0.005059,0,62
-4.168601,2.178006,0.010361,0.008477,-0.066002,-0.000967,-0.024291,0.023294,0,63
-3.576881,2.652440,-0.034616,-0.024272,0.006427,0.051091,0.009555,0.061208,0,64
0.597482,5.635575,0.042977,-0.002566,-0.024181,0.002013,-0.024741,0.017678,3,65
1.998869,4.588304,-0.056227,-0.027415,-0.009959,-0.070380,-0.036174,-0.002927,3,66
3.750190,1.180738,0.040003,0.047630,0.073696,0.011331,-0.044844,-0.013218,3,67
-1.552451,-4.453309,0.019977,0.015802,-0.034243,0.029629,-0.020955,-0.012799,1,68
-3.604839,0.585977,0.018305,-0.016123,-0.039709,0.015567,0.007059,0.000732,3,69
-5.089085,0.638508,0.018647,-0.040263,-0.027322,0.008636,0.007169,0.054455,0,70
-5.230362,3.557393,0.003123,0.008499,0.001151,0.017000,0.003189,-0.026240,0,71
-2.833521,-3.431661,0.048513,0.036043,0.047964,0.013144,0.025477,0.022422,1,72
3.450385,-2.775029,0.012922,-0.013790,0.009117,-0.034903,0.028463,0.053455,2,73
-3.658961,2.640339,-0.017764,-0.038488,-0.021525,-0.040281,0.043115,0.014848,0,74
3.932000,3.355708,-0.025830,-0.005754,0.013592,0.010298,0.057528,-0.004064,2,75
-1.534038,2.499742,-0.024716,-0.015695,-0.003579,0.019274,0.054417,-0.051139,1,76
-3.301336,-2.792016,-0.016843,-0.016293,-0.002378,0.005924,0.022916,-0.018687,1,77
-2.495898,3.011421,0.044506,0.008871,0.040753,-0.017430,0.015109,0.020761,0,78
5.706666,-2.816692,0.022838,0.031621,-0.050456,0.021113,0.027021,0.038222,1,79
-2.848511,-3.535586,-0.003500,-0.021258,-0.003862,-0.019277,-0.037852,0.017203,1,80
3.447358,-2.850476,-0.021322,-0.047871,0.068610,-0.049485,-0.029564,0.013316,2,81
4.687138,1.214846,0.005025,0.016128,-0.022271,0.019675,0.001122,-0.031942,2,82
4.900149,-3.450014,0.029487,0.021606,0.014859,0.020186,-0.066322,-0.037927,1,83
2.891847,-1.523527,-0.047196,-0.004127,-0.015482,0.006807,-0.013372,-0.003185,0,84
-8.457207,0.509662,0.018839,-0.055063,0.009161,0.042741,0.038492,0.038665,1,85
4.349986,2.653169,-0.002164,-0.008156,-0.002622,0.032892,0.026541,-0.015397,2,86
3.774832,-2.464044,-0.019307,0.012874,0.042595,0.009820,0.016429,-0.021673,2,87
-0.092024,-3.504813,0.032752,-0.076689,0.014691,-0.009265,0.026257,0.056356,2,88
4.227036,-1.842241,0.010392,0.050634,0.058592,0.030537,-0.007515,0.012606,2,89
3.478741,-2.881576,0.012545,0.000690,-0.007123,0.027232,-0.023933,-0.040122,2,90
-3.755851,-1.597063,-0.050984,-0.038632,-0.054278,-0.015898,-0.021079,0.009915,3,91
-1.473373,-2.536953,0.002779,-0.040667,-0.005083,0.001354,0.017120,0.008209,2,92
-3.787028,-1.413980,0.012275,0.000077,-0.007049,0.079097,0.027318,-0.017819,1,93
2.806680,-3.291050,0.013288,0.030484,0.006999,-0.009757,-0.014592,-0.015244,2,94
-1.407845,2.521286,-0.043541,-0.004668,0.037542,-0.046189,0.005359,-0.008798,1,95
-0.317342,-6.609439,-0.061942,-0.060966,-0.024164,0.027609,0.010561,-0.031803,0,96
2.892673,3.237128,-0.007172,-0.002027,0.005550,-0.002101,-0.049975,0.031083,3,97
-3.527898,-4.915600,0.005830,-0.000984,0.011589,-0.004408,-0.006363,0.036515,0,98
1.942889,0.360588,0.013223,0.020080,0.005894,0.035704,0.019612,-0.013872,0,99
6.434003,-1.075131,0.012026,-0.010425,0.035261,0.030883,-0.005431,-0.005316,1,100
-5.863808,2.660705,-0.013146,-0.020495,0.029541,-0.011930,-0.013685,-0.014086,3,101
1.983761,5.396102,0.043321,0.027086,-0.020889,-0.015532,-0.031898,-0.007293,2,102
-5.093246,-2.168343,0.044865,0.005864,-0.000359,0.008968,0.007443,0.012839,0,103
-6.811738,8.723597,-0.018178,-0.036175,0.015890,-0.009130,-0.019253,0.033653,0,104
2.681257,-1.568165,0.012020,-0.026730,0.004512,0.002331,-0.018908,0.024022,3,105
4.535614,-1.441680,0.032508,-0.021373,0.072865,0.023796,-0.037398,-0.002964,2,106
-2.552037,-3.644272,0.037812,-0.060796,-0.025100,-0.048636,0.031781,-0.004932,1,107
-3.324024,3.025746,-0.032560,0.046104,0.000511,0.020117,0.022000,-0.005210,0,108
-3.110326,-3.287127,-0.022825,0.029628,-0.037382,-0.026598,-0.007703,-0.011203,1,109
-2.043102,-0.221206,-0.024068,0.025765,0.024074,-0.055589,0.016079,-0.060071,3,110
0.242885,-3.486821,-0.008820,-0.044323,0.031080,-0.001520,-0.018657,0.009192,2,111
3.120635,-3.016404,-0.015086,-0.012335,-0.019321,-0.028044,-0.035089,0.004464,3,112
-6.833013,-0.444428,-0.013138,0.003839,-0.033227,-0.018137,-0.009584,-0.040986,3,113
-2.622598,-3.637212,0.009849,-0.017670,-0.080707,-0.016206,0.020158,-0.059714,1,114
0.603964,-3.783814,0.032184,-0.013741,0.027955,-0.007475,-0.055011,-0.023435,2,115
0.030831,6.692626,0.000011,0.105128,-0.007902,0.038725,0.015384,0.017768,2,116
6.537232,-1.025907,0.052561,-0.023387,-0.049290,-0.010834,0.021832,0.004691,1,117
0.423188,5.823390,0.007424,0.048223,0.007591,0.011525,0.002771,0.071722,3,118
-5.255059,-0.515949,-0.036679,-0.003490,-0.026523,0.012223,-0.050911,-0.017517,0,119
1.931177,5.389676,-0.056531,-0.005973,-0.001087,-0.031424,0.005411,0.010241,2,120
2.805972,-1.389623,0.025676,0.048782,0.019851,-0.006965,-0.003594,-0.003008,3,121
-2.110762,-4.147862,-0.028825,0.003843,-0.007369,0.009963,0.012494,0.028845,1,122
2.884553,3.402202,-0.073965,-0.059187,-0.015065,-0.042475,0.026144,-0.043740,3,123
8.101381,-5.301419,-0.002146,0.034085,-0.051504,-0.043199,-0.034067,-0.011282,3,124
-4.133419,2.068212,0.061576,0.084892,0.087934,0.028922,0.016466,0.018594,0,125
1.932759,4.878550,-0.014299,0.011572,0.032350,-0.011974,-0.025731,-0.001165,3,126
2.856290,3.558445,-0.013318,0.048383,-0.018753,-0.022078,-0.011869,0.021355,3,127
-3.505340,1.539461,-0.029800,-0.033163,0.064001,0.007533,0.048566,-0.029233,1,128
0.045065,-1.938122,0.014610,-0.033962,-0.006671,-0.032167,-0.038558,0.004777,2,129
-3.910782,0.554052,-0.030497,0.055224,0.019689,0.019563,-0.006836,-0.007123,1,130
-2.032068,2.972912,0.021366,-0.016019,-0.013200,-0.012906,-0.032038,-0.031745,0,131
-4.825893,0.576458,0.053865,-0.032963,0.015096,0.004661,0.041625,0.011669,0,132
-1.129405,5.728557,-0.048747,0.032603,-0.024319,0.027009,-0.017715,0.008022,3,133
-2.347578,2.962281,0.006628,-0.048665,-0.036236,-0.001555,0.022829,-0.062574,0,134
2.089495,0.887602,-0.007085,0.013348,-0.027229,-0.006748,-0.030590,0.038453,0,135
-6.819435,-1.318918,0.007654,-0.031456,-0.012365,0.001803,0.008845,0.038012,0,136
-3.654846,2.547133,0.034905,-0.030304,-0.004875,0.003468,-0.049101,0.027085,0,137
2.227479,-1.790255,-0.031187,0.014438,0.003309,0.012509,-0.002502,-0.067225,3,138
-1.122752,-6.308987,0.039869,0.012545,0.003875,-0.019286,0.030503,0.023754,2,139
-5.220407,-8.698792,-0.007402,-0.013161,-0.055445,0.012473,-0.027624,0.036851,2,140
-2.945834,-3.237796,0.055314,-0.005531,0.051539,0.045279,0.019865,-0.020381,1,141
3.150617,2.942441,-0.031373,-0.024502,-0.010807,-0.009209,0.025264,-0.013416,3,142
-3.191410,-2.995313,0.010868,0.059115,0.003940,-0.016834,0.052640,-0.000726,1,143
-3.894285,2.445711,-0.028393,0.060772,-0.003262,0.025585,0.007987,0.018683,0,144
-2.085561,-5.861104,0.010734,0.041856,-0.027952,-0.005265,0.005461,0.005025,0,145
2.245329,4.175539,0.015090,-0.022710,-0.056443,-0.013549,-0.013634,-0.010685,3,146
-0.931737,2.251532,0.013320,0.049204,0.006507,-0.033507,0.004724,-0.003958,2,147
4.298597,-1.771402,0.054825,-0.031321,-0.017842,-0.000119,0.015368,-0.036230,2,148
-2.499731,-3.950478,0.024968,-0.040457,0.023976,-0.001362,0.001260,0.011155,1,149
-4.245082,-2.981870,0.012351,0.027040,-0.010483,-0.043022,-0.037742,0.019544,0,150
-3.731349,-1.116532,0.017826,0.031647,-0.045669,0.007767,0.082705,-0.010499,1,151
3.280514,2.813744,-0.033654,0.006626,0.031463,0.047357,-0.033082,0.025886,1,152
-2.146422,-0.568974,-0.015941,0.009736,0.062492,-0.019146,0.001239,0.029165,2,153
-1.647442,-4.440714,-0.004408,0.015660,0.010170,-0.014385,0.047353,0.008129,1,154
-5.215907,-0.804970,-0.001155,-0.034773,0.002210,0.019362,-0.039663,0.026063,0,155
2.142605,0.730611,-0.007467,0.010360,0.012068,-0.039499,-0.013099,0.006924,0,156
-3.180297,3.005543,-0.021584,0.018141,0.058953,-0.039357,-0.000834,0.059621,0,157
-1.118916,3.097027,-0.011750,-0.035786,0.015937,0.041090,-0.027842,0.007647,2,158
3.530474,-2.610333,-0.038388,-0.027138,-0.075343,-0.005662,-0.004214,-0.000679,2,159
3.244491,2.752307,0.064781,-0.024394,0.026859,-0.034632,0.017521,0.016516,3,160
-6.702522,-0.062884,-0.005267,-0.012419,-0.018824,-0.005462,-0.000828,0.024795,2,161
4.709813,-3.625857,-0.023004,-0.068013,0.021403,0.014255,0.001457,0.012289,1,162
-4.042743,-4.412484,-0.019342,0.068586,0.007695,0.011840,-0.037879,-0.032939,0,163
-3.300196,-2.884323,0.038299,0.006573,-0.044278,0.034768,-0.036002,-0.006142,1,164
-1.657516,2.318769,-0.006106,0.032157,-0.009335,-0.034423,-0.055269,0.015212,1,165
-7.781341,-5.288222,0.033802,-0.006015,-0.016923,0.003314,0.021007,0.007547,1,166
-4.904067,1.097016,0.024605,-0.006500,-0.015201,-0.016741,0.013311,0.002976,0,167
1.907956,1.729834,-0.024329,-0.021091,-0.032873,-0.002268,0.004032,0.019353,0,168
-1.356020,6.776336,0.039279,-0.018038,-0.031032,-0.001805,-0.027574,0.002119,2,169
4.635956,-3.764032,-0.001612,-0.021923,0.067677,0.003427,0.021244,-0.030216,3,170
1.954883,5.573257,0.033862,-0.016672,-0.021073,-0.010057,0.001791,0.023018,2,171
2.867558,-3.168771,0.000895,0.046412,-0.009504,0.013270,0.009564,-0.023677,2,172
2.941935,-3.172848,-0.006315,-0.038828,0.019432,-0.027089,0.017998,0.014386,2,173
-2.803924,-3.415697,0.003882,0.042899,-0.012029,0.046318,0.005993,0.001183,1,174
1.637284,-3.521015,0.040144,0.080519,0.068719,0.013747,-0.027427,0.033191,0,175
-1.520097,-2.668543,-0.031260,-0.039973,-0.056651,-0.074460,0.018524,0.001529,2,176
-3.972256,2.302258,0.031458,0.015478,0.035209,-0.073291,0.006745,0.002671,0,177
-0.806671,-5.020594,0.024209,-0.035929,-0.041442,0.006111,0.043709,0.040076,1,178
-3.307611,-2.611659,-0.004261,-0.005708,0.042876,0.021442,-0.031169,0.020930,1,179
0.815463,-2.235084,-0.001758,-0.014420,0.056576,-0.006151,-0.030630,0.044591,1,180
4.545544,-1.265925,0.005921,-0.011549,0.006971,-0.054479,-0.016785,-0.013713,2,181
-2.426993,-3.914702,-0.041401,0.014615,-0.002497,0.013765,-0.010196,-0.040517,1,182
1.151738,5.714308,-0.052812,-0.022720,0.037012,0.028871,0.036519,-0.032728,3,183
-4.356224,1.927043,-0.007354,0.048051,-0.033442,0.014054,-0.029598,0.035665,0,184
0.382906,6.306329,0.001863,-0.001201,-0.035487,-0.015017,0.012940,0.040410,0,185
-3.271399,2.834471,0.024426,-0.006817,0.012610,-0.043352,0.055303,-0.037997,0,186
6.673345,-0.203517,0.009720,0.061174,-0.013062,-0.045808,-0.020555,0.002142,1,187
-2.909459,3.029257,-0.024843,0.036006,0.049076,0.007299,0.031269,-0.025514,0,188
3.557119,-2.704989,-0.000686,0.023602,0.017715,0.025341,-0.071948,-0.002477,2,189
-2.134133,-1.843619,0.012203,-0.055369,-0.031363,-0.034705,0.022857,0.061500,2,190
-0.643439,2.243419,0.008203,0.005731,0.001948,-0.026895,-0.018222,-0.004051,1,191
1.514767,-5.210183,-0.015629,0.032167,-0.026858,0.019452,0.022181,-0.003376,1,192
0.689993,-5.268519,-0.035646,-0.016512,0.031988,-0.029101,-0.036556,-0.025505,1,193
-2.710564,3.156327,-0.029265,-0.003122,0.023659,0.004004,0.038572,0.001177,2,194
2.015775,0.098037,-0.031745,0.037836,0.013895,-0.025557,0.005787,-0.037741,0,195
-0.288025,-3.191492,-0.000931,-0.000071,0.027059,0.006061,0.004223,0.012266,0,196
2.237532,-3.686584,-0.022306,0.048791,0.027689,-0.007016,-0.007040,0.014703,1,197
4.484185,-4.018853,-0.019279,0.037149,0.001285,-0.023587,-0.016112,0.010788,1,198
0.812776,-2.060577,0.004684,-0.006552,0.036763,0.032084,0.005736,-0.013482,3,199
3.750749,-4.594757,0.001476,-0.039949,-0.028071,0.004723,0.022415,0.018197,1,200
3.902604,-2.278889,0.061248,-0.002861,0.015138,-0.002228,-0.038708,-0.001439,2,201
2.423228,4.010014,-0.025936,0.002287,-0.006033,0.004582,-0.002882,0.018232,3,202
3.859853,-2.410264,0.041842,0.040529,0.020799,-0.021922,-0.031499,0.019422,2,203
4.777368,-0.894904,0.009073,0.013522,-0.017594,0.005839,0.053658,0.031008,2,204
2.177901,-5.170141,0.017111,0.010096,-0.000592,0.004266,-0.040799,0.000476,1,205
-5.092153,-2.621633,-0.027017,-0.002651,0.000299,0.005600,-0.026105,-0.042855,0,206
-3.359865,-2.514185,-0.008740,-0.015336,-0.025280,0.002727,0.004232,0.039488,1,207
8.080207,1.589818,-0.031272,0.043039,-0.012091,0.022760,-0.022743,0.028543,1,208
4.607134,-4.092584,-0.014964,-0.004364,0.030979,0.016117,-0.018402,0.025154,1,209
0.713811,-2.162404,-0.041944,-0.009450,0.002313,-0.040885,-0.011490,-0.018932,1,210
-5.145767,0.201681,0.005376,0.000582,-0.021725,-0.031548,0.003552,0.011713,0,211
-3.244514,-3.013827,-0.004231,-0.004227,0.034841,0.017666,0.014617,0.003040,1,212
2.484950,-3.391232,0.047731,-0.030072,-0.061726,-0.013502,0.026602,0.007396,2,213
-3.581547,2.840005,-0.058542,-0.001129,-0.008486,0.037452,0.015543,-0.021320,0,214
3.019831,3.152506,0.016791,0.047930,-0.108344,-0.037206,-0.038081,-0.009929,3,215
-2.138000,-4.188511,-0.003333,-0.066831,-0.043103,0.001644,-0.002529,-0.003548,1,216
-3.544627,2.861463,-0.039989,-0.004548,-0.021466,0.005425,-0.032168,-0.021171,2,217
-2.295324,-0.868696,-0.053098,0.001629,0.028966,-0.020223,0.007344,0.011418,2,218
-0.780055,3.137666,-0.030048,0.022766,0.059122,-0.026474,0.026866,-0.049031,0,219
-0.799867,3.120506,-0.017276,-0.027597,0.045369,0.034876,0.030541,0.031395,0,220
-0.136289,5.549815,0.020164,-0.020344,0.049461,0.002105,-0.004277,-0.005954,3,221
-2.162641,-0.781574,0.020048,0.000204,-0.010967,0.001583,-0.006401,-0.007279,2,222
3.277044,2.778109,0.008795,0.059574,0.003877,-0.021693,-0.002644,-0.029670,3,223
0.213560,-6.804014,0.019172,-0.028027,-0.003401,0.035598,-0.015382,-0.008940,0,224
2.927756,3.385472,-0.019184,-0.018845,0.010806,-0.005892,0.010029,-0.002893,3,225
-3.493178,2.670091,-0.017580,-0.011243,-0.036706,-0.057298,-0.033104,0.084979,0,226
2.828571,-1.087040,-0.008987,0.005945,0.029094,0.014577,0.002978,-0.027563,3,227
3.617413,-2.586640,0.006614,-0.016986,0.046104,-0.060186,-0.023180,-0.002042,2,228
2.343279,4.062479,0.010502,0.021527,-0.027062,0.010247,-0.007098,-0.034077,3,229
-0.100648,2.169202,-0.014133,-0.007977,-0.030855,0.005753,0.036399,0.033716,3,230
-0.219708,-5.067991,-0.009875,0.032734,-0.017680,-0.038717,-0.005754,-0.000940,0,231
-4.897989,0.800717,-0.030433,0.018691,0.024501,0.036962,0.012567,0.007529,0,232
2.228547,4.207674,-0.004078,-0.030046,0.023051,-0.012147,0.029069,-0.032888,3,233
3.479556,-0.575507,0.013636,0.001517,-0.030119,-0.043766,-0.021633,-0.060950,2,234
2.880006,3.447149,-0.019117,-0.000487,0.002556,-0.024219,0.040525,-0.018545,3,235
5.874363,-2.358753,-0.030963,0.036309,0.035429,0.004768,0.012001,-0.038279,2,236
2.089633,0.336005,0.031651,-0.042117,0.012165,0.100393,0.015577,-0.032967,1,237
1.610112,1.982162,0.054705,0.032459,-0.006088,-0.004918,-0.047387,-0.039127,0,238
3.436915,-2.707049,-0.036977,-0.034852,-0.035458,-0.053074,0.005869,0.015860,2,239
-6.337319,6.391631,-0.023685,-0.048282,-0.012271,0.000054,0.001996,0.049137,2,240
-1.674607,5.594034,-0.006007,0.018562,-0.006485,-0.071757,0.049263,0.030515,3,241
2.556677,3.897899,-0.020154,0.022851,0.016617,0.031009,-0.003042,0.004326,3,242
-2.025221,-0.464438,0.008317,-0.066837,-0.051037,-0.027517,-0.029367,-0.036330,2,243
0.462128,-3.515178,0.046423,-0.038140,0.021008,0.007613,-0.031824,-0.073419,2,244
-6.278272,2.914453,0.022811,-0.040658,-0.037981,0.005863,0.016824,0.066960,2,245
-1.211985,2.517299,-0.007438,-0.003844,0.013541,0.023658,-0.061761,0.011806,1,246
-3.493387,-2.567526,0.060926,0.007452,0.014875,0.055517,0.009007,-0.044729,1,247
3.294614,2.726315,-0.012023,0.043377,0.007958,-0.018590,0.018986,0.039423,3,248
0.117342,8.868363,0.011104,0.043733,-0.001959,0.026764,0.012082,0.024338,2,249
-5.044797,-0.460168,0.008443,-0.007777,-0.040061,-0.074809,0.004449,-0.036358,0,250
6.644391,-0.468765,-0.042699,-0.017698,0.037402,-0.028475,0.061261,-0.016088,1,251
-2.796118,-3.454174,0.032075,-0.030499,-0.039282,-0.064503,-0.007117,0.083623,1,252
2.451461,3.777766,0.032392,0.009440,0.034340,-0.053238,-0.010861,0.001697,3,253
-3.319424,2.924196,0.009680,-0.042219,-0.025835,-0.032336,-0.010768,0.012237,1,254
-0.904007,-3.201011,-0.006149,-0.017973,-0.050639,-0.034007,0.003353,-0.032328,1,255
3.253754,-0.494323,0.010547,0.013428,0.026152,-0.008755,0.029262,0.037144,3,256
3.209857,-0.431561,-0.000016,0.017978,0.005811,-0.033986,0.001087,-0.030955,3,257
3.069551,-3.058153,-0.055441,0.018451,0.004327,0.004925,-0.044648,-0.073616,2,258
4.411119,-1.498852,-0.023830,-0.004073,0.012154,0.008999,0.057617,-0.023187,2,259
2.195842,0.690402,-0.024807,0.015099,0.044757,-0.012290,-0.001027,0.031017,0,260
-1.303850,-2.852582,0.020749,0.017397,0.012585,-0.002227,0.028485,0.021684,1,261
1.321112,5.479384,-0.033298,0.008565,0.034191,0.044985,-0.008739,-0.000591,3,262
6.811232,-7.883324,-0.055347,-0.010837,-0.001180,0.020875,0.033426,0.028392,2,263
-2.223617,-4.194207,-0.066585,-0.003310,-0.066269,-0.003116,-0.035580,-0.014777,1,264
2.306820,1.049542,0.017552,-0.012273,0.045991,0.043157,0.014484,-0.003404,1,265
-1.593580,-0.119428,-0.016690,-0.054153,-0.037753,-0.068030,0.013033,-0.038923,0,266
2.072267,0.591548,0.010645,0.020966,-0.018156,-0.014750,0.034276,0.006041,0,267
-3.243165,-2.862816,0.006055,0.056611,-0.038180,0.034681,0.000030,-0.008418,1,268
6.571676,-0.646477,0.034639,-0.021973,0.044995,0.016824,0.015680,-0.012684,1,269
-6.589206,0.327096,0.036893,0.005600,0.012388,-0.004965,0.001957,-0.013957,3,270
0.773869,-7.276530,0.016177,-0.057074,-0.009216,-0.048937,-0.006361,0.005947,0,271
-3.199149,-2.866456,0.017873,0.009788,0.022091,-0.003181,0.005282,-0.014215,1,272
3.165482,-1.138155,-0.043869,0.009895,0.019316,-0.042654,-0.016407,-0.024451,3,273
-1.922282,2.985565,0.021086,-0.040509,-0.021653,0.020235,-0.006244,0.015210,0,274
-1.047580,3.039342,-0.014532,-0.051758,0.004741,0.004914,-0.013516,0.008499,0,275
2.801461,-3.209224,0.028676,0.040892,0.024253,-0.009006,-0.028352,0.024913,2,276
-2.172894,-4.116289,-0.016235,0.012999,-0.034884,-0.013989,0.000097,0.019804,1,277
-6.371212,1.480513,-0.029498,0.002494,0.000509,0.001026,0.008485,0.003140,3,278
1.397716,6.194579,-0.006614,0.009430,0.031439,0.016305,0.006481,-0.019164,2,279
-6.709840,-0.496796,0.033244,0.035101,-0.039163,0.041249,-0.010165,0.014709,3,280
-0.043738,-5.021409,0.002561,-0.003524,-0.017607,-0.057405,-0.011834,-0.001266,1,281
-2.172671,-4.104080,-0.003489,0.006290,0.032128,0.091472,-0.010259,0.010768,1,282
-1.860512,-2.000727,0.037023,0.031823,-0.012437,0.061583,0.047719,-0.024219,1,283
2.295566,4.208822,-0.024834,-0.022309,-0.041498,0.018070,-0.025928,0.016771,3,284
-4.449695,1.641546,-0.031124,-0.009163,0.060346,-0.039063,-0.026777,-0.008701,0,285
3.856368,-2.309384,-0.010308,0.029906,-0.001652,-0.004603,-0.013019,0.008352,2,286
2.873403,3.479517,0.021047,0.062665,0.033316,0.016229,-0.050441,0.005021,3,287
-0.924158,-4.906462,0.000599,-0.004097,0.010055,-0.017137,0.002978,0.004453,0,288
-1.310344,6.842260,-0.038377,0.000737,0.014027,0.031651,0.021485,0.041552,2,289
