query_id,history,gaps_days,target_items
10,324 424 903 1105 1334 3159|324 424 903 1105 1334 1743 3159|324 424 903 1105 1282 1334 3159|324 424 903 1105 1282 1334|903 1105 1743 3159|903 1105 1282 1334,0 41 62 39 7 19,324 424 903 1105 1282 1334 3159
11,162 171 183 190 525 602 687 800 928 963 1233 1268 1437 2039 2379 2400 2786 2812 2927 3007 3012 3141 3298 3315 3520 3541 3622 3897 4001|20 86 171 589 600 698 705 903 963 1268 1312 1501 1771 2117 2459 2644 2698 3315 3486 3530 3535 3797 3813 3876,0 97,200 396 405 518 609 751 807 833 845 846 897 1070 1105 1296 1511 1536 1610 1709 1756 1774 1809 1834 1869 1988 2089 2278 2289 2404 2485 2493 2513 2576 2596 2676 2677 2687 2748 2811 2950 2978 3052 3262 3307 3331 3419 3458 3502 3551 3580 3879 3934
12,147 294 360 511 1597 1638 1860 2123 2437 2438 2556 3014 3516 3636 3748 3768 4013|171 345 409 685 697 775 811 1247 1280 1506 1606 1647 1839 1890 2020 2083 2131 2286 2437 2438 2522 2684 2717 3014 3053 3143 3351 3364 3545 3636 3646 3681 3711 3748 3805 4013|685 1483 1506 2083 2437 2438 2900 3014 3636 3681 3708 3711 3715 4013|16 140 294 345 495 511 852 1010 1183 1506 1597 1647 1894 2150 2156 2387 2437 2438 2525 3006 3014 3176 3232 3423 3636 3708 3711 3813 3899 3995 4013|294 495 511 697 1247 1506 1638 1894 2387 2437 2438 2525 3014 3176 3364 3636 3646 3813 3844 4013|294 362 511 532 1506 1597 1721 2083 2150 2387 2437 2724 3006 3176 3232 3490 3813 3844 3995 4013,0 76 165 121 63 55,294 409 511 697 975 1506 1721 2387 2437 2438 2525 2580 2690 2837 2899 3053 3176 3232 3636 3681 3708 3813 3844 3851 3858 4013
13,77 144 153 190 282 314 456 512 600 601 687 731 779 800 874 1126 1136 1382 1438 1614 1676 1761 1837 1937 2121 2153 2281 2313 2379 2416 2592 2679 2684 2793 2794 2897 2899 2916 2927 2966 3006 3024 3164 3251 3268 3403 3594 3932 4006|144 202 282 1295 1387 1506 1761 1837 2131 2558 2793 2899 3721 3813|282 333 456 512 660 687 779 874 1011 1126 1382 2121 2131 2153 2416 2740 2927 3258 3403 3617 3813|77 240 245 324 571 641 977 1183 1325 2079 2131 2160 2416 2437 2603 2679 3437 3491 3616|139 180 314 324 477 526 641 876 913 977 2079 2096 2131 2132 2167 2400 2423 2437 2596 2643 2757 3086 3445 3493 4060|139 282 477 577 641 843 913 1011 1742 1864 2096 2131 2150 2167 2400 2416 2581 2596 2843 2857 2966 3392 3403 3514 3616 3617 3648 4060|139 282 563 600 602 713 807 824 833 913 1118 1170 1216 1225 1291 1387 1610 1837 1846 1850 2079 2096 2118 2156 2167 2278 2379 2400 2422 2538 2576 2596 2612 2909 2916 2927 3028 3307 3327 3375 3403 3580 3648 3721 4047|20 133 324 641 713 984 1170 1225 1387 1846 1850 2150 2156 2222 2538 2576 2581 2613 2843 3037 3258 3307 3375 3392 3580 3721 4047 4060,0 17 33 46 30 41 67 42,139 180 314 456 577 843 853 1224 1225 1387 1610 1846 2096 2150 2167 2329 2596 2830 2889 3616 3721 4069
14,93 299 516 756 785 947 1276 1871 1925 2207 2330 2404 2548 2584 2819 3337 3504|59 195 299 374 384 722 921 2241 2293 2330 2427 2907 3014 3156 3269 3403 3424 3464 3636 3872 3923 4073|222 444 520 875 1048 1524 3948|9 45 50 106 414 454 520 785 947 978 1229 1234 1251 1395 1555 1581 1870 1871 2109 2404 2627 2783 2819 3329 3629 3708 3764 3804 3805 3939|9 45 50 106 414 454 520 785 947 978 1229 1234 1251 1395 1555 1581 1870 1871 2109 2404 2627 2783 2819 3329 3629 3708 3764 3804 3805 3939,0 6 101 215 0,1028 1448 1591 3296
15,168 183 238 340 629 756 990 997 1371 1403 1826 2100 2141 2421 3052 3059 3924|183 544 800 913 1371 1706 1915 1934 2122 2167 2400 2454 3282 3469 3876 3993|35 70 89 455 477 589 698 714 903 1479 1495 1575 1690 1822 1934 1941 1973 1977 2095 2379 2382 2400 2454 2909 2921 3162 3220 3315 3512 3518 3530 3745 3897 3920|345 519 716 800 1129 1479 1495 1721 1894 1941 1964 2400 2436 2804 3995|1030,0 36 102 51 1,162 411 1129 1218 1934 1964 2096 2379 2716 2779 3040 3088 3231 3908
16,2818|1353|2988,0 7 9,417 572 1262 1291 1339 1922 2437
17,2438 3557|3376|157 1597 1980 2438 3557|1115|3557|1761 2438 3100 3557|157 1515 1980|3813|3813|3155 3557 3813|3557|775 3064 3557|1685 2784 3557|1105 3075 3480 3557 3805,0 10 9 17 21 40 18 118 5 154 18 65 42 38,3557
18,1102 1251 1964 2363 2963 3197|1259 1761 1921 2948 3805|1251,0 51 7,1479 2079 2459
19,93 147 177 299 355 437 441 597 736 853 864 966 1174 1385 1436 1447 1671 1726 1731 1781 1806 1909 2014 2104 2225 2258 2379 2553 2584 2672 2818 2997 3192 3238 3554 3624 3742 3829 3869 3904 3923 4014|30 195 315 455 486 609 660 808 853 961 979 1213 1342 1347 1647 1653 1966 2274 2386 2424 2522 2581 2674 2677 2794 2903 3217 3629 3965|589 756 853 921 1483 1541 1647 1761 2568 3044 3450 3629 3648|853 1654 1771 1806 2258 2416 3834 3905|340 709 1213 1570 1693 2313 2465 2534 3052 3378 3450 3580|183 626 661 1996 2113 2293 2609 2639 2671 3042 3141 3159 3648 3718 3969|224 260 324 414 454 455 486 708 724 756 843 890 930 978 1003 1047 1146 1224 1511 1525 1690 1721 1857 1870 2056 2059 2091 2110 2124 2523 2581 2715 2733 2783 3159 3193 3243 3275 3315 3362 3530 3797 3813 4032,0 159 174 21 108 87 126,33 93 158 263 752 921 1163 1423 1541 1559 1654 1724 1761 1764 1837 1861 2072 2106 2108 2313 2363 2669 3072 3087 3197 3264 3468 3539 3587 3729 3734
20,68 456 680 1598 1724 1826 2196 2400 2571 2596 3006 3672|68 139 456 680 1598 1742 2156 2400 2596 2703 2857|139 199 1598 1742 1959 2096 2156 2171 2400 2596 3908|139 176 531 1585 1742 2096 2156 2703 2857|139 737 1598 1988 2096 2156 2400 2596 2600 2676 2691 2873,0 95 60 44 37,139 505 1598 1959 2096 2356 2400 2596 2873 3182
21,600 716 1617 1655 3193 3984 4062|1977 3984|214 1658 2017 2047 2175 2573 2604 2631 2660 3255|621 1977 2886 3713|2658 3665|621|621|1323 1977 2050 2565 2617 2886 3079 3831 3984,0 55 81 171 1 17 85 139,236 632 1323 2384 2617 3827
22,722 803 885 1104 1447 1752 1828 1959 2026 2352 2419|246 1828 2419 2682 3733|726 1784 2094 2352 3656|183 803 1828 1959 2026 2918 3354 3404,0 25 24 41,263 1148 3656 3680 3705
23,30 77 157 333 384 456 600 630 756 873 930 934 1010 1024 1254 1331 1336 1585 1717 1756 1828 1934 1964 2071 2167 2213 2269 2317 2322 2350 2379 2509 2740 2844 2916 2932 2935 2955 3016 3197 3293 3296 3337 3392 3412 3481 3511 3570 3580 3624 3674 3721 3761 3808 3876 3922 3926 4027 4032|30 140 158 185 384 456 630 884 903 930 953 990 1010 1066 1254 1331 1559 1759 1807 1964 2293 2352 2596 2740 2844 2861 2932 2979 3033 3238 3298 3392 3721 3761 4027|77 800 903 913 963 999 1828 2269 2293 2317 2322 2844 2861 2916 3231 3624 4027 4032|273 489 657 1185 1254 1426 1482 1761 1795 2293 2596 2766 2844 2954 2979 3061 3298 3494 3624 3926|70 183 333 455 630 963 1051 1254 1529 1828 1964 1996 2122 2281 2293 2350 2740 2821 2861 2935 3007 3231 3412 3897|70 77 157 433 455 456 526 533 589 630 657 800 884 903 913 1254 1331 1380 1585 1807 1828 1964 1980 2167 2269 2293 2317 2350 2400 2531 2581 2596 2732 2740 2783 2844 2916 2935 3197 3231 3293 3392 3412 3445 3494 3624 3761 3876 3897 4032 4071|20 77 140 333 456 630 884 903 913 951 963 1254 1331 1380 1585 1717 1934 2120 2126 2213 2269 2281 2293 2317 2400 2581 2596 2740 2844 2916 3164 3231 3293 3392 3445 3494 3624 3761 3876 3976 4032|333 456 800 884 903 913 951 953 1254 1331 1585 1717 1828 1934 1964 1996 2167 2400 2955 3231 3412 3490 3761 3876|77 153 589 600 1254 1268 1330 1331 1361 1585 1717 1761 1828 1934 1964 2167 2269 2317 2581 2740 2916 3007 3231 3251 3293 3624 3761 3976 4032|77 115 153 190 333 392 456 462 600 601 602 630 710 756 800 819 903 913 989 1070 1254 1330 1331 1361 1585 1717 1807 1828 1934 1964 2118 2167 2293 2317 2365 2400 2464 2524 2571 2689 2740 2889 2916 2932 2955 3090 3134 3231 3251 3293 3361 3412 3461 3587 3624 3761 3876 3915 3942 3976 4051 4071|115 153 190 333 392 423 456 600 601 713 754 756 800 884 903 913 990 1254 1330 1331 1361 1527 1585 1717 1828 1934 1964 2118 2167 2293 2317 2365 2400 2464 2571 2596 2916 2929 2932 2955 3029 3090 3231 3251 3258 3293 3412 3461 3490 3587 3624 3721 3761 3876 3915 3925 3942 3976 4071|20 77 86 94 153 162 190 300 456 531 582 589 600 657 800 868 903 913 1254 1331 1361 1585 1717 1759 1807 1934 2025 2039 2167 2282 2293 2365 2400 2454 2740 2916 2932 3029 3231 3251 3371 3445 3630 3650 3761 3876 3976 4032|76 77 94 153 162 333 456 526 657 884 1010 1254 1325 1331 1450 1585 1717 1964 1986 2025 2117 2167 2293 2400 2596 2857 2916 3231 3251 3445 3490 3876|86 94 139 162 190 333 456 489 531 600 657 884 903 913 1254 1331 1361 1585 1717 1742 1934 2039 2096 2167 2293 2400 2596 2857 3006 3761 4071|86 139 162 190 333 531 763 800 903 913 1202 1214 1254 1331 1361 1585 1717 1934 1964 2025 2096 2167 2293 2350 2400 2857 3205 3231 3680 3761 3774 3876|86 139 153 162 190 392 423 531 600 630 754 800 884 913 963 1202 1254 1268 1325 1330 1331 1361 1450 1585 1717 1742 1807 1934 1964 2025 2096 2167 2196 2400 2581 2857 2916 2932 3006 3231 3251 3392 3445 3490 3551 3761 3876 4032,0 48 17 45 30 52 43 24 42 32 23 132 16 66 22 26,121 162 337 580 600 648 756 795 800 854 914 990 1128 1254 1333 1585 1717 1988 2007 2096 2118 2167 2278 2329 2400 2513 2676 2689 2799 2830 2857 2873 2889 3231 3721 3761 3807 4051
24,70 140 218 238 409 411 487 495 630 685 687 721 732 773 798 853 870 962 979 994 1054 1280 1382 1446 1506 1511 1569 1647 1722 1758 1865 2062 2228 2240 2270 2277 2343 2345 2450 2522 2740 2759 2789 3044 3125 3186 3195 3238 3329 3373 3389 3465 3567 3636 3667 3749 3882 3909 3938 3964 4032|47 67 85 94 140 260 314 318 333 381 388 405 424 512 529 556 578 590 671 675 685 763 772 773 779 814 918 921 926 928 954 982 1017 1103 1128 1251 1262 1294 1338 1368 1396 1416 1515 1535 1585 1682 1717 1718 1761 1801 1819 1887 1927 1959 1982 2003 2012 2095 2150 2247 2293 2387 2438 2496 2532 2554 2560 2596 2598 2715 2721 2724 2761 2805 2874 2889 2960 3099 3162 3232 3242 3243 3421 3467 3481 3484 3490 3498 3516 3536 3622 3708 3711 3787 3796 3869 3934 3963 4051 4054|47 260 657 675 798 921 1320 1761 1790 1806 1982 2277 2503 2509 2759 2761 3162 3195 3232 3243 3247 3465 3476 3484 3498 3667 3882 4027|70 98 409 455 928 1437 1446 1511 1758 2277 2450 2789 2805 2949 3162 3195 3258 3329 3339 3389 3964 4027|35 104 238 351 388 409 495 630 675 685 687 710 773 814 853 926 932 979 1225 1251 1262 1294 1328 1368 1427 1446 1484 1503 1566 1647 1682 1806 1982 2150 2238 2252 2277 2343 2416 2522 2595 2655 2689 2740 2805 2889 3269 3329 3465 3481 3498 3516 3530 3583 3694 3749 3964 4032 4051|5 282 309 930 1179 1437 1519 1527 1612 1932 2217 2368 2509 2636 2671 2709 3084 3139 3178 3228 3238 3389 3554 3648 3976 4006 4051|260 537 595 773 853 932 1126 1262 1353 1368 1978 2326 2437 3694|16 256 801 1012 1179 1259 1518 1597 1660 1854 2012 2438 2492 2531 2686 3146 3567 3735 3882|260 779 1911 2631 2660 2715 2807 3045 3064 3180 3232 3243 3333 3548 3694 3995|164|1761 3232|1437 1468 1758 2230 3027|388 687 930 1010 1213 1484 2150 2156 2596 3162 3490 3749 3964|292 388 1350 1873 1954 2001 2012 2150 2170 2591 2686 2715 3006 3162 3426|1242 1262 1506 3014 3034 3045 3243 3681|282 388 755 906 1437 1484 1664 1806 1994 2156 2219 2230 2765 2842 3035 3634 3636 3683 3828|1911 1932 2740 2979|260 2715 3243|913 2167|94 537 1251 1437 1873 2039 2244 2438 2543 2895 3268 3823|164 1213 2933|140 267 495 1437 1440 1468 2292 2504 2560 2807 3058|11 39 488 614 663 685 727 853 921 1590 1660 1673 1836 1932 1954 2016 2416 2560 3332 3414 3465 3549 3877|58 388 1347 1484 2001 2150 2156 2438 2537 2805 3189 3490 3995|58 164 1010 1213 1350 1468 2098 2292 2537 2900 3498 3787 3995|94 164 260 658 687 727 788 2016 2580 2715 3243 3995|58 388 658 1213 2150 2156 2537 3200 3490 3995|260 727 1084 2016 2438 2715 2807 2917 3014 3243 3414 3730 3995|260 282 512 2016 2715 3243 3414|1468 3014 3548|11 260 294 653 675 727 1010 1075 1466 1886 2001 2580 2715 2920 3243 3679 3917|11 24 31 39 260 324 371 383 602 607 753 948 1075 1180 1282 1368 1476 1527 1682 1732 2012 2016 2033 2043 2072 2098 2112 2140 2175 2202 2350 2422 2459 2628 2658 2715 2746 2796 2889 2915 2979 3046 3088 3122 3153 3232 3243 3255 3299 3410 3648 3666 3814 3827 3877|11 39 70 140 164 282 455 512 630 685 687 1468 1506 1511 2039 2255 2509 2740 3014 3162 3269 3536 3877 4032|16 292 466 1010 1213 1262 1437 1468 1954 2001 2715 3162 3243 3803 3995|58 260 282 727 2016 2560 3414|42 282 827 1075 1284 1368 1527 1745 1761 1932 2208 2537 2580 2671 2721 3162 3735 3774|11 39 47 388 512 630 853 2150 2156 2522 2560 3195 3389 3490 3548 3877|11 39 899 930 1010 1804 2537 2631 2655 2715 3583|11 39 58 455 1761 2537 3189 3243 3877|58 685 1294 2039 2170 2537 2900 3556 4027,0 35 17 5 5 17 17 16 15 4 6 6 10 8 8 8 1 14 0 6 12 6 2 9 9 34 1 6 12 8 12 7 7 13 11 17 11 7 8 11,58 260 512 685 926 1294 1444 1468 1745 2521 2537 2560 2715 2884 3995
25,176 626 951 1585 1777 1828 1900 1945 1982 2122 2379 2438 2522 2596 2909 3231 3332 3445|253 295 511 536 620 660 703 754 779 962 1807 1931 1934 2191 2620 2815 2927 3053 3612 3667 3869 3897 3968|292 687 951 1010 1100 2379 2438 2596 2679 3059 3445,0 28 99,77 162 185 511 687 713 738 989 1189 1296 1380 1934 2210 2379 2438 2596 2873 3185 3557 3666 3797
26,68 195 374 800 903 950 963 1807 1964 2167 2213 2317 2379 2400 2581 2703 2709 3065 3156 3175 3293 3330 3392 3448 3508|393 513 525 1045 1117 1146 1354 1400 1486 1571 1576 1598 1690 1707 1757 1828 1857 1982 2400 2438 2548 2562 2655 2757 2797 2909 2991 3021 3178 3367 3621 3848 3919 3950|68 630 990 1373 1495 1725 1822 2526 2703 2740 3780 4032|23 30 214 324 533 554 560 823 902 1185 1223 1253 1298 1390 1548 1675 1756 1890 1945 1958 2012 2014 2042 2291 2491 2531 2679 2736 2794 2892 2946 3162 3377 3398 3483 3805|455 1218 1479 2378 3040 3088 3965|20 68 157 180 393 477 880 963 1105 1218 1334 1380 1523 1525 1571 1575 1598 1743 1980 2160 2465 2581 2797 2806 2966 3040 3088 3159 3230 3269 3293 3392 3403 3491 3518 3624 3647 3910|1347 1525 2203 2274 3797 4047|238 314 414 724 1712 2059 2353 2805 3361 3514|77 133 245 314 507 511 512 874 913 961 978 998 1010 1117 1218 1330 1340 1468 1555 1576 1717 1761 1867 1934 1942 2120 2213 2317 2332 2407 2414 2438 2783 2805 2841 2913 2916 3040 3293 3367 3587 3588 3591 3624 3849 4053|94 153 385 519 554 619 660 778 874 913 1330 1598 1782 1945 2014 2213 2317 2400 2491 2548 2703 2732 2903 2916 3093 3175 3190 3238 3251 3293 3377 3624 3686 3881 3894 3955 3994 4009|77 153 294 396 481 511 525 554 582 596 787 833 846 903 904 1129 1330 1400 1438 1468 1527 1580 1610 1667 1772 1945 1958 2068 2110 2189 2207 2291 2317 2419 2493 2612 2636 2916 3161 3212 3251 3293 3356 3394 3398 3624 3705 3829,0 21 0 53 0 35 0 0 126 145 220,162 582 1259 2493 2544 3051 3371 3398 4063
27,45 55 77 197 361 488 528 536 721 754 759 766 804 953 958 1069 1084 1173 1210 1218 1234 1321 1373 1529 1581 1595 1608 1613 1725 1758 2047 2079 2081 2123 2317 2416 2505 2522 2573 2754 2916 2917 2929 3007 3040 3088 3142 3175 3180 3208 3293 3299 3344 3365 3392 3401 3413 3592 3660 3764 3853 3948 3953 3965|67 314 517 1597 2438 2919 3339 3431 3641|14 125 216 240 279 345 466 565 593 601 618 687 697 713 714 743 751 759 823 849 902 990 1128 1228 1293 1298 1314 1387 1393 1394 1461 1518 1527 1597 1647 1712 1908 1929 1955 1964 1968 2079 2081 2120 2121 2125 2171 2343 2381 2404 2438 2454 2519 2522 2523 2533 2538 2575 2805 2819 2956 2974 3034 3040 3078 3088 3175 3326 3343 3365 3417 3441 3587 3614 3616 3630 3646 3648 3705 3716 3780 3881 3903 3932 3984 4031 4052|806 826 1005 1038 1113 1381 1547 1573 2296 2416 2640 2664 2847 3652 4012|23 172 344 488 506 715 759 804 1551 1675 1827 1837 1916 2047 2081 2117 2123 2171 2187 2343 2416 2438 2465 2509 2522 2533 2681 2734 2892 2938 2948 2956 3072 3078 3326 3365 3377 3401 3585 3654 3686 3920 3990,0 256 0 0 122,77 104 129 230 232 323 537 546 584 716 833 917 989 1076 1095 1102 1109 1225 1281 1330 1387 1444 1468 1597 1682 1849 1858 1895 2007 2044 2078 2135 2183 2184 2187 2316 2372 2438 2473 2474 2485 2516 2576 2597 2793 2945 2978 3072 3119 3144 3161 3175 3251 3654 3722 3881 4034 4069
28,289 456 1067 1114 1359 1846 2071 2489 2523 2819 3374|811 842 1015 1837 1976 2286 2596 2819 3072 3130 3407 3450 3536|165 308 388 578 668 1017 1032 1846 1907 2156 2471 2657 2819 3374 3766 3833 3973 4067|155 262 456 626 697 715 770 1359 1382 2071 2596 2608 2609 2631 2794 2929 3063 3130 3183 3196|296 514 618 1452 1597 1780 2192 2711 2716 2895 3222 3267 3536 3620 3689 3735|28 324 595 618 829 876 1020 1036 1382 1921 2059 2083 2794 2819 2837 3408 3631 3858,0 93 157 43 96 35,58 238 282 314 315 333 456 626 951 1036 1080 1102 1168 1177 1382 1537 1837 1916 2150 2156 2475 2493 2537 2596 2598 2609 2610 2631 2737 2794 2830 2929 3063 3212 3222 3232 3609 3774 3995
29,25 70 104 106 168 273 388 416 453 600 602 642 722 781 973 1011 1105 1128 1147 1327 1334 1361 1403 1409 1438 1479 1511 1536 1743 1778 1866 1964 2252 2260 2350 2378 2797 2871 2966 3146 3159 3262 3344 3403 3530 3555 3567 3580 3617 3735 3796 3908 3965 4046|1173 1866 3403 3617,0 134,139 140 161 171 180 412 477 525 548 582 607 742 748 795 846 853 858 859 984 1102 1174 1205 1214 1250 1383 1394 1437 1518 1752 1761 1869 1940 2006 2039 2088 2095 2107 2108 2136 2278 2416 2432 2445 2531 2571 2596 2628 2689 2758 2830 2911 2999 3006 3037 3057 3153 3172 3217 3308 3312 3390 3404 3468 3557 3572 3617 3787 3813 3821 3912 3981 4031 4061
30,1160 3656|324 1160 3656|324 880 1160 1334 3656|1334|1160 3656|3656|323 854 880 1090 1133 1282 1642 3315 3952|1160 1862 3451,0 119 118 60 87 134 47 38,1133 1862 3656 3952
